Date,Category,Product_Name,Demand,Available_Supply,Seasonal_Indicator
2021-01-10,Electronics,E004,89,611,0
2021-01-10,Sweets & Grocery,S003,88,727,0
2021-01-10,Sweets & Grocery,S004,87,672,0
2021-01-10,Electronics,E005,93,695,0
2021-01-11,Sweets & Grocery,S002,106,1238,0
2021-01-11,Sweets & Grocery,S005,108,1432,0
2021-01-11,Fashion,F003,68,870,0
2021-01-11,Fashion,F002,49,819,0
2021-01-11,Electronics,E004,100,1104,0
2021-01-11,Sweets & Grocery,S004,83,1177,0
2021-01-11,Fashion,F001,83,827,0
2021-01-11,Electronics,E001,79,1069,0
2021-01-11,Sweets & Grocery,S003,110,1304,0
2021-01-11,Electronics,E003,123,1403,0
2021-01-11,Electronics,E005,88,1270,0
2021-01-11,Electronics,E002,95,1515,0
2021-01-11,Fashion,F004,51,607,0
2021-01-11,Fashion,F005,50,720,0
2021-01-11,Sweets & Grocery,S001,78,1084,0
2021-01-12,Electronics,E005,112,1158,0
2021-01-12,Electronics,E002,109,1406,0
2021-01-12,Fashion,F001,67,760,0
2021-01-12,Electronics,E003,108,1295,0
2021-01-12,Sweets & Grocery,S004,87,1090,0
2021-01-12,Sweets & Grocery,S003,85,1219,0
2021-01-12,Sweets & Grocery,S005,109,1323,0
2021-01-12,Electronics,E004,76,1028,0
2021-01-12,Fashion,F003,66,804,0
2021-01-12,Electronics,E001,75,994,0
2021-01-12,Fashion,F005,56,664,0
2021-01-12,Fashion,F002,65,754,0
2021-01-12,Sweets & Grocery,S002,89,1149,0
2021-01-12,Sweets & Grocery,S001,97,987,0
2021-01-12,Fashion,F004,47,560,0
2021-01-13,Electronics,E003,113,1182,0
2021-01-13,Fashion,F003,65,176,0
2021-01-13,Electronics,E002,120,1286,0
2021-01-13,Fashion,F001,69,691,0
2021-01-13,Sweets & Grocery,S003,99,1120,0
2021-01-13,Sweets & Grocery,S002,99,1050,0
2021-01-13,Electronics,E005,102,1056,0
2021-01-13,Fashion,F005,37,627,0
2021-01-13,Fashion,F002,65,689,0
2021-01-13,Electronics,E004,83,945,0
2021-01-13,Sweets & Grocery,S004,96,994,0
2021-01-13,Sweets & Grocery,S005,107,1216,0
2021-01-13,Sweets & Grocery,S001,78,909,0
2021-01-13,Electronics,E001,85,909,0
2021-01-13,Fashion,F004,47,513,0
2021-01-14,Fashion,F002,66,623,0
2021-01-14,Sweets & Grocery,S004,83,911,0
2021-01-14,Sweets & Grocery,S001,66,843,0
2021-01-14,Electronics,E003,100,1082,0
2021-01-14,Sweets & Grocery,S003,108,1012,0
2021-01-14,Electronics,E001,108,801,0
2021-01-14,Electronics,E005,86,970,0
2021-01-14,Sweets & Grocery,S005,109,1107,0
2021-01-14,Electronics,E002,129,1157,0
2021-01-14,Fashion,F005,54,573,0
2021-01-14,Fashion,F004,52,461,0
2021-01-14,Electronics,E004,88,857,0
2021-01-14,Fashion,F003,66,110,0
2021-01-14,Fashion,F001,62,629,0
2021-01-14,Sweets & Grocery,S002,84,966,0
2021-01-15,Sweets & Grocery,S001,73,770,0
2021-01-15,Electronics,E002,102,1055,0
2021-01-15,Fashion,F002,54,569,0
2021-01-15,Fashion,F001,73,556,0
2021-01-15,Electronics,E003,107,975,0
2021-01-15,Electronics,E005,92,878,0
2021-01-15,Sweets & Grocery,S002,101,865,0
2021-01-15,Fashion,F005,53,520,0
2021-01-15,Sweets & Grocery,S003,115,897,0
2021-01-15,Sweets & Grocery,S004,105,806,0
2021-01-15,Sweets & Grocery,S005,115,992,0
2021-01-15,Fashion,F004,46,415,0
2021-01-15,Fashion,F003,61,49,0
2021-01-15,Electronics,E001,73,728,0
2021-01-15,Electronics,E004,89,768,0
2021-01-16,Sweets & Grocery,S002,83,782,0
2021-01-16,Electronics,E003,103,872,0
2021-01-16,Sweets & Grocery,S001,78,692,0
2021-01-16,Sweets & Grocery,S005,115,877,0
2021-01-16,Electronics,E005,94,784,0
2021-01-16,Electronics,E002,113,942,0
2021-01-16,Electronics,E001,79,649,0
2021-01-16,Fashion,F001,69,487,0
2021-01-16,Fashion,F005,70,450,0
2021-01-16,Fashion,F002,52,517,0
2021-01-16,Sweets & Grocery,S003,93,804,0
2021-01-16,Sweets & Grocery,S004,93,713,0
2021-01-16,Electronics,E004,80,688,0
2021-01-16,Fashion,F004,42,373,0
2021-01-16,Fashion,F003,56,0,0
2021-01-17,Fashion,F002,51,466,0
2021-01-17,Fashion,F004,43,330,0
2021-01-17,Electronics,E004,91,597,0
2021-01-17,Fashion,F003,64,0,0
2021-01-17,Sweets & Grocery,S002,110,672,0
2021-01-17,Sweets & Grocery,S004,79,634,0
2021-01-17,Sweets & Grocery,S001,77,615,0
2021-01-17,Sweets & Grocery,S005,116,761,0
2021-01-17,Electronics,E001,83,566,0
2021-01-17,Electronics,E003,106,766,0
2021-01-17,Electronics,E002,101,841,0
2021-01-17,Fashion,F001,51,436,0
2021-01-17,Electronics,E005,89,695,0
2021-01-17,Fashion,F005,69,381,0
2021-01-17,Sweets & Grocery,S003,108,696,0
2021-01-18,Sweets & Grocery,S004,95,1165,0
2021-01-18,Fashion,F005,46,724,0
2021-01-18,Fashion,F001,69,841,0
2021-01-18,Sweets & Grocery,S003,89,1325,0
2021-01-18,Sweets & Grocery,S005,117,1423,0
2021-01-18,Electronics,E002,123,1487,0
2021-01-18,Electronics,E001,87,1061,0
2021-01-18,Fashion,F002,65,803,0
2021-01-18,Electronics,E004,110,1094,0
2021-01-18,Fashion,F003,65,873,0
2021-01-18,Sweets & Grocery,S002,88,1256,0
2021-01-18,Electronics,E003,105,1421,0
2021-01-18,Electronics,E005,89,1269,0
2021-01-18,Sweets & Grocery,S001,77,1085,0
2021-01-18,Fashion,F004,50,608,0
2021-01-19,Electronics,E001,85,976,0
2021-01-19,Fashion,F001,76,765,0
2021-01-19,Electronics,E003,97,1324,0
2021-01-19,Sweets & Grocery,S005,111,1312,0
2021-01-19,Electronics,E002,119,1368,0
2021-01-19,Fashion,F003,66,807,0
2021-01-19,Fashion,F004,46,562,0
2021-01-19,Electronics,E004,101,993,0
2021-01-19,Fashion,F002,54,749,0
2021-01-19,Sweets & Grocery,S001,78,1007,0
2021-01-19,Sweets & Grocery,S002,107,1149,0
2021-01-19,Fashion,F005,58,666,0
2021-01-19,Sweets & Grocery,S004,92,1073,0
2021-01-19,Electronics,E005,91,1178,0
2021-01-19,Sweets & Grocery,S003,90,1235,0
2021-01-20,Fashion,F003,83,724,0
2021-01-20,Electronics,E003,105,1219,0
2021-01-20,Sweets & Grocery,S004,92,981,0
2021-01-20,Fashion,F004,61,501,0
2021-01-20,Fashion,F001,71,694,0
2021-01-20,Sweets & Grocery,S001,92,915,0
2021-01-20,Electronics,E001,77,215,0
2021-01-20,Sweets & Grocery,S002,101,1048,0
2021-01-20,Electronics,E004,94,899,0
2021-01-20,Sweets & Grocery,S005,124,1188,0
2021-01-20,Fashion,F005,63,603,0
2021-01-20,Electronics,E002,136,1232,0
2021-01-20,Sweets & Grocery,S003,119,1116,0
2021-01-20,Electronics,E005,114,1064,0
2021-01-20,Fashion,F002,55,694,0
2021-01-21,Electronics,E001,78,137,0
2021-01-21,Sweets & Grocery,S003,113,1003,0
2021-01-21,Fashion,F005,51,552,0
2021-01-21,Sweets & Grocery,S004,96,885,0
2021-01-21,Sweets & Grocery,S001,92,823,0
2021-01-21,Fashion,F001,68,626,0
2021-01-21,Fashion,F003,58,666,0
2021-01-21,Fashion,F002,70,624,0
2021-01-21,Electronics,E005,73,991,0
2021-01-21,Sweets & Grocery,S005,93,1095,0
2021-01-21,Electronics,E004,86,813,0
2021-01-21,Fashion,F004,55,446,0
2021-01-21,Electronics,E003,100,1119,0
2021-01-21,Sweets & Grocery,S002,85,963,0
2021-01-21,Electronics,E002,102,1130,0
2021-01-22,Sweets & Grocery,S005,119,976,0
2021-01-22,Sweets & Grocery,S003,100,903,0
2021-01-22,Electronics,E004,77,736,0
2021-01-22,Fashion,F001,39,587,0
2021-01-22,Sweets & Grocery,S004,77,808,0
2021-01-22,Electronics,E002,104,1026,0
2021-01-22,Sweets & Grocery,S002,102,861,0
2021-01-22,Fashion,F002,54,570,0
2021-01-22,Fashion,F004,49,397,0
2021-01-22,Fashion,F005,47,505,0
2021-01-22,Fashion,F003,75,591,0
2021-01-22,Sweets & Grocery,S001,64,759,0
2021-01-22,Electronics,E005,93,898,0
2021-01-22,Electronics,E001,88,49,0
2021-01-22,Electronics,E003,116,1003,0
2021-01-23,Fashion,F002,55,515,0
2021-01-23,Electronics,E003,101,902,0
2021-01-23,Sweets & Grocery,S002,87,774,0
2021-01-23,Electronics,E004,79,657,0
2021-01-23,Sweets & Grocery,S001,80,679,0
2021-01-23,Fashion,F003,67,524,0
2021-01-23,Electronics,E002,104,922,0
2021-01-23,Fashion,F005,54,451,0
2021-01-23,Electronics,E001,108,0,0
2021-01-23,Fashion,F001,57,530,0
2021-01-23,Sweets & Grocery,S003,92,811,0
2021-01-23,Electronics,E005,116,782,0
2021-01-23,Fashion,F004,50,347,0
2021-01-23,Sweets & Grocery,S005,93,883,0
2021-01-23,Sweets & Grocery,S004,91,717,0
2021-01-24,Sweets & Grocery,S005,98,785,0
2021-01-24,Sweets & Grocery,S002,86,688,0
2021-01-24,Fashion,F003,67,457,0
2021-01-24,Fashion,F004,52,52,0
2021-01-24,Fashion,F002,65,450,0
2021-01-24,Electronics,E001,94,0,0
2021-01-24,Fashion,F005,51,400,0
2021-01-24,Electronics,E005,91,691,0
2021-01-24,Sweets & Grocery,S003,82,161,0
2021-01-24,Fashion,F001,55,475,0
2021-01-24,Electronics,E004,81,576,0
2021-01-24,Sweets & Grocery,S001,86,593,0
2021-01-24,Sweets & Grocery,S004,90,627,0
2021-01-24,Electronics,E002,129,793,0
2021-01-24,Electronics,E003,99,803,0
2021-01-25,Sweets & Grocery,S001,73,1089,0
2021-01-25,Sweets & Grocery,S003,90,1324,0
2021-01-25,Electronics,E005,106,1252,0
2021-01-25,Fashion,F004,35,623,0
2021-01-25,Fashion,F003,68,870,0
2021-01-25,Sweets & Grocery,S002,85,1259,0
2021-01-25,Electronics,E004,79,1125,0
2021-01-25,Fashion,F002,64,804,0
2021-01-25,Fashion,F005,56,714,0
2021-01-25,Electronics,E003,117,1409,0
2021-01-25,Fashion,F001,59,851,0
2021-01-25,Sweets & Grocery,S004,103,1157,0
2021-01-25,Sweets & Grocery,S005,116,1424,0
2021-01-25,Electronics,E001,72,1076,0
2021-01-25,Electronics,E002,117,1493,0
2021-01-26,Sweets & Grocery,S003,112,1212,0
2021-01-26,Fashion,F004,58,565,0
2021-01-26,Fashion,F001,70,781,0
2021-01-26,Electronics,E002,109,1384,0
2021-01-26,Electronics,E001,88,988,0
2021-01-26,Electronics,E004,89,1036,0
2021-01-26,Electronics,E005,95,1157,0
2021-01-26,Fashion,F005,66,648,0
2021-01-26,Sweets & Grocery,S005,117,1307,0
2021-01-26,Fashion,F003,66,804,0
2021-01-26,Sweets & Grocery,S002,94,1165,0
2021-01-26,Sweets & Grocery,S004,99,1058,0
2021-01-26,Fashion,F002,45,759,0
2021-01-26,Electronics,E003,108,1301,0
2021-01-26,Sweets & Grocery,S001,83,1006,0
2021-01-27,Electronics,E002,132,1252,0
2021-01-27,Sweets & Grocery,S001,84,922,0
2021-01-27,Fashion,F005,59,589,0
2021-01-27,Electronics,E003,118,1183,0
2021-01-27,Sweets & Grocery,S005,113,1194,0
2021-01-27,Electronics,E001,73,915,0
2021-01-27,Fashion,F002,58,701,0
2021-01-27,Sweets & Grocery,S002,95,1070,0
2021-01-27,Electronics,E004,87,949,0
2021-01-27,Sweets & Grocery,S003,98,1114,0
2021-01-27,Fashion,F004,40,525,0
2021-01-27,Fashion,F003,64,740,0
2021-01-27,Electronics,E005,94,1063,0
2021-01-27,Fashion,F001,81,700,0
2021-01-27,Sweets & Grocery,S004,92,966,0
2021-01-28,Electronics,E005,119,944,0
2021-01-28,Sweets & Grocery,S005,112,1082,0
2021-01-28,Fashion,F004,47,478,0
2021-01-28,Electronics,E003,112,1071,0
2021-01-28,Fashion,F003,77,663,0
2021-01-28,Fashion,F005,68,521,0
2021-01-28,Electronics,E004,99,850,0
2021-01-28,Sweets & Grocery,S003,111,1003,0
2021-01-28,Sweets & Grocery,S004,90,876,0
2021-01-28,Electronics,E001,92,823,0
2021-01-28,Fashion,F002,53,648,0
2021-01-28,Fashion,F001,62,638,0
2021-01-28,Electronics,E002,111,1141,0
2021-01-28,Sweets & Grocery,S002,109,961,0
2021-01-28,Sweets & Grocery,S001,85,837,0
2021-01-29,Sweets & Grocery,S003,95,908,0
2021-01-29,Electronics,E004,85,765,0
2021-01-29,Sweets & Grocery,S001,85,752,0
2021-01-29,Sweets & Grocery,S004,109,767,0
2021-01-29,Fashion,F001,66,125,0
2021-01-29,Sweets & Grocery,S002,93,868,0
2021-01-29,Fashion,F003,73,590,0
2021-01-29,Fashion,F005,51,470,0
2021-01-29,Electronics,E001,64,759,0
2021-01-29,Electronics,E003,106,965,0
2021-01-29,Fashion,F004,50,428,0
2021-01-29,Fashion,F002,65,583,0
2021-01-29,Sweets & Grocery,S005,117,965,0
2021-01-29,Electronics,E002,104,1037,0
2021-01-29,Electronics,E005,89,855,0
2021-01-30,Electronics,E002,117,920,0
2021-01-30,Fashion,F003,79,511,0
2021-01-30,Electronics,E004,78,687,0
2021-01-30,Sweets & Grocery,S002,106,762,0
2021-01-30,Electronics,E005,91,764,0
2021-01-30,Sweets & Grocery,S001,75,677,0
2021-01-30,Fashion,F002,65,518,0
2021-01-30,Electronics,E001,86,673,0
2021-01-30,Sweets & Grocery,S003,112,796,0
2021-01-30,Sweets & Grocery,S004,97,670,0
2021-01-30,Fashion,F004,48,380,0
2021-01-30,Fashion,F001,55,70,0
2021-01-30,Electronics,E003,108,857,0
2021-01-30,Fashion,F005,55,415,0
2021-01-30,Sweets & Grocery,S005,102,863,0
2021-01-31,Sweets & Grocery,S005,96,767,0
2021-01-31,Fashion,F003,77,434,0
2021-01-31,Fashion,F002,49,469,0
2021-01-31,Electronics,E003,112,745,0
2021-01-31,Fashion,F001,74,0,0
2021-01-31,Sweets & Grocery,S003,101,695,0
2021-01-31,Fashion,F004,46,334,0
2021-01-31,Electronics,E005,72,692,0
2021-01-31,Electronics,E004,109,578,0
2021-01-31,Electronics,E002,135,785,0
2021-01-31,Sweets & Grocery,S001,73,604,0
2021-01-31,Electronics,E001,106,567,0
2021-01-31,Sweets & Grocery,S004,90,580,0
2021-01-31,Sweets & Grocery,S002,103,659,0
2021-01-31,Fashion,F005,53,362,0
2021-02-01,Electronics,E003,96,1430,0
2021-02-01,Sweets & Grocery,S003,105,1309,0
2021-02-01,Fashion,F004,47,611,0
2021-02-01,Electronics,E002,105,1505,0
2021-02-01,Sweets & Grocery,S005,109,1431,0
2021-02-01,Electronics,E005,104,1254,0
2021-02-01,Fashion,F005,54,716,0
2021-02-01,Fashion,F003,69,869,0
2021-02-01,Sweets & Grocery,S001,84,1078,0
2021-02-01,Fashion,F001,69,841,0
2021-02-01,Sweets & Grocery,S002,98,1246,0
2021-02-01,Electronics,E004,89,1115,0
2021-02-01,Fashion,F002,58,810,0
2021-02-01,Electronics,E001,86,1062,0
2021-02-01,Sweets & Grocery,S004,82,1178,0
2021-02-02,Electronics,E002,109,1396,0
2021-02-02,Sweets & Grocery,S005,99,1332,0
2021-02-02,Fashion,F004,53,558,0
2021-02-02,Sweets & Grocery,S004,85,1093,0
2021-02-02,Sweets & Grocery,S002,101,1145,0
2021-02-02,Electronics,E005,92,1162,0
2021-02-02,Fashion,F001,47,794,0
2021-02-02,Electronics,E003,99,1331,0
2021-02-02,Electronics,E001,84,978,0
2021-02-02,Fashion,F002,51,759,0
2021-02-02,Electronics,E004,100,1015,0
2021-02-02,Sweets & Grocery,S001,91,987,0
2021-02-02,Fashion,F005,59,657,0
2021-02-02,Sweets & Grocery,S003,84,1225,0
2021-02-02,Fashion,F003,64,805,0
2021-02-03,Fashion,F003,58,747,0
2021-02-03,Fashion,F001,69,725,0
2021-02-03,Fashion,F005,45,612,0
2021-02-03,Sweets & Grocery,S005,115,1217,0
2021-02-03,Fashion,F004,48,510,0
2021-02-03,Electronics,E004,84,931,0
2021-02-03,Electronics,E003,107,1224,0
2021-02-03,Fashion,F002,71,688,0
2021-02-03,Sweets & Grocery,S001,77,910,0
2021-02-03,Sweets & Grocery,S003,105,1120,0
2021-02-03,Electronics,E002,125,1271,0
2021-02-03,Electronics,E001,79,899,0
2021-02-03,Sweets & Grocery,S004,65,1028,0
2021-02-03,Sweets & Grocery,S002,85,1060,0
2021-02-03,Electronics,E005,94,1068,0
2021-02-04,Sweets & Grocery,S004,81,947,0
2021-02-04,Sweets & Grocery,S002,99,961,0
2021-02-04,Electronics,E005,104,964,0
2021-02-04,Electronics,E001,75,824,0
2021-02-04,Fashion,F001,69,656,0
2021-02-04,Fashion,F002,62,626,0
2021-02-04,Sweets & Grocery,S003,103,1017,0
2021-02-04,Electronics,E003,102,1122,0
2021-02-04,Electronics,E004,84,847,0
2021-02-04,Sweets & Grocery,S005,102,1115,0
2021-02-04,Sweets & Grocery,S001,72,838,0
2021-02-04,Fashion,F005,46,566,0
2021-02-04,Electronics,E002,124,1147,0
2021-02-04,Fashion,F004,41,469,0
2021-02-04,Fashion,F003,61,686,0
2021-02-05,Sweets & Grocery,S004,92,855,0
2021-02-05,Fashion,F003,75,611,0
2021-02-05,Electronics,E001,81,743,0
2021-02-05,Electronics,E004,81,766,0
2021-02-05,Fashion,F002,60,566,0
2021-02-05,Fashion,F004,40,429,0
2021-02-05,Sweets & Grocery,S003,114,903,0
2021-02-05,Fashion,F005,68,498,0
2021-02-05,Electronics,E003,117,1005,0
2021-02-05,Sweets & Grocery,S001,69,769,0
2021-02-05,Electronics,E002,100,1047,0
2021-02-05,Sweets & Grocery,S005,112,1003,0
2021-02-05,Sweets & Grocery,S002,88,873,0
2021-02-05,Fashion,F001,71,585,0
2021-02-05,Electronics,E005,94,870,0
2021-02-06,Electronics,E002,105,942,0
2021-02-06,Sweets & Grocery,S005,108,895,0
2021-02-06,Sweets & Grocery,S003,103,800,0
2021-02-06,Fashion,F002,53,513,0
2021-02-06,Electronics,E001,69,674,0
2021-02-06,Sweets & Grocery,S001,69,700,0
2021-02-06,Sweets & Grocery,S004,84,771,0
2021-02-06,Fashion,F003,67,544,0
2021-02-06,Fashion,F001,60,525,0
2021-02-06,Fashion,F004,46,383,0
2021-02-06,Fashion,F005,55,443,0
2021-02-06,Electronics,E004,76,690,0
2021-02-06,Sweets & Grocery,S002,80,793,0
2021-02-06,Electronics,E005,100,770,0
2021-02-06,Electronics,E003,112,893,0
2021-02-07,Electronics,E005,99,671,0
2021-02-07,Fashion,F001,76,449,0
2021-02-07,Sweets & Grocery,S005,124,771,0
2021-02-07,Sweets & Grocery,S002,115,678,0
2021-02-07,Electronics,E002,98,844,0
2021-02-07,Electronics,E003,104,789,0
2021-02-07,Sweets & Grocery,S001,84,616,0
2021-02-07,Sweets & Grocery,S004,86,685,0
2021-02-07,Fashion,F002,70,443,0
2021-02-07,Electronics,E004,98,592,0
2021-02-07,Fashion,F005,56,387,0
2021-02-07,Fashion,F004,56,327,0
2021-02-07,Electronics,E001,83,591,0
2021-02-07,Fashion,F003,61,483,0
2021-02-07,Sweets & Grocery,S003,106,694,0
2021-02-08,Electronics,E005,104,1254,0
2021-02-08,Sweets & Grocery,S001,104,1058,0
2021-02-08,Sweets & Grocery,S004,92,1168,0
2021-02-08,Sweets & Grocery,S005,123,1417,0
2021-02-08,Sweets & Grocery,S003,114,1300,0
2021-02-08,Fashion,F001,55,855,0
2021-02-08,Electronics,E002,113,1497,0
2021-02-08,Electronics,E001,87,1061,0
2021-02-08,Electronics,E003,97,1429,0
2021-02-08,Fashion,F002,74,794,0
2021-02-08,Fashion,F005,59,711,0
2021-02-08,Electronics,E004,86,1118,0
2021-02-08,Fashion,F003,59,879,0
2021-02-08,Fashion,F004,53,605,0
2021-02-08,Sweets & Grocery,S002,89,1255,0
2021-02-09,Sweets & Grocery,S005,105,1312,0
2021-02-09,Electronics,E002,110,1387,0
2021-02-09,Sweets & Grocery,S002,97,1158,0
2021-02-09,Fashion,F002,69,725,0
2021-02-09,Sweets & Grocery,S003,111,1189,0
2021-02-09,Sweets & Grocery,S004,88,1080,0
2021-02-09,Fashion,F001,64,791,0
2021-02-09,Fashion,F004,34,571,0
2021-02-09,Electronics,E001,67,994,0
2021-02-09,Electronics,E003,89,1340,0
2021-02-09,Fashion,F003,70,809,0
2021-02-09,Electronics,E005,93,1161,0
2021-02-09,Fashion,F005,44,667,0
2021-02-09,Sweets & Grocery,S001,80,978,0
2021-02-09,Electronics,E004,82,1036,0
2021-02-10,Electronics,E004,90,946,0
2021-02-10,Sweets & Grocery,S002,88,1070,0
2021-02-10,Sweets & Grocery,S001,89,889,0
2021-02-10,Electronics,E001,78,916,0
2021-02-10,Fashion,F002,64,661,0
2021-02-10,Fashion,F005,53,614,0
2021-02-10,Electronics,E005,84,1077,0
